iter	Logloss
0	0.4571939697
1	0.3110677002
2	0.2053900925
3	0.1441424927
4	0.09877581863
5	0.0801960144
6	0.06179170876
7	0.04981726227
8	0.04220634613
9	0.03694752579
10	0.03353038406
11	0.03140153618
12	0.02902362289
13	0.02741903362
14	0.02616827698
15	0.02503501167
16	0.02393925934
17	0.02330908833
18	0.02282597561
19	0.02219988613
20	0.021896241
21	0.02122415295
22	0.02094298992
23	0.02072557173
24	0.02037962627
25	0.0200732749
26	0.01972486935
27	0.01948533125
28	0.01926437435
29	0.01895551405
30	0.01877781143
31	0.0186382184
32	0.01842144251
33	0.01819804974
34	0.01804993286
35	0.01794668102
36	0.01766759281
37	0.01744053421
38	0.01728600669
39	0.01700753479
40	0.01686368055
41	0.01662089376
42	0.01651099625
43	0.01642156
44	0.01628808322
45	0.01613908353
46	0.01591887093
47	0.01568135581
48	0.01548742871
49	0.01535157499
50	0.01512739291
51	0.01505617733
52	0.014887288
53	0.01480425258
54	0.01469939818
55	0.01460225811
56	0.01440884933
57	0.0143079886
58	0.01422562566
59	0.01400689321
60	0.01391599278
61	0.01389893456
62	0.01379541283
63	0.01371264586
64	0.0136010643
65	0.01355258112
66	0.01346674962
67	0.01339118447
68	0.0132075284
69	0.01301213403
70	0.01290143628
71	0.01285238152
72	0.01274703655
73	0.01262522774
74	0.01245738201
75	0.01230335698
76	0.01212403102
77	0.01203340311
78	0.01189976249
79	0.01181559424
80	0.0116797761
81	0.01160310092
82	0.01155383534
83	0.01142412238
84	0.01120571373
85	0.01112792954
86	0.01110245042
87	0.01103750217
88	0.01095553288
89	0.01087818925
90	0.01084319375
91	0.01069786634
92	0.01062474627
93	0.01046276808
94	0.01033360722
95	0.01026128097
96	0.01016779206
97	0.01010937791
98	0.01005898457
99	0.009903507185
100	0.009838239431
101	0.009828737473
102	0.009794225001
103	0.009740724897
104	0.009664994907
105	0.009626623774
106	0.009549787521
107	0.009432202673
108	0.00938708849
109	0.009355680943
110	0.009307258391
111	0.009180675793
112	0.009150870371
113	0.00910876615
114	0.009039708018
115	0.008989871979
116	0.008947772312
117	0.00888471384
118	0.008825901413
119	0.008751233959
120	0.008717143273
121	0.008652678418
122	0.008589890671
123	0.008584044409
124	0.008470583248
125	0.008416705203
126	0.008380198073
127	0.008344529486
128	0.008339505148
129	0.008291586781
130	0.008198332071
131	0.008191269112
132	0.008072307396
133	0.008020093203
134	0.007995072842
135	0.007949745464
136	0.007936922455
137	0.007924334526
138	0.007920892
139	0.007883588028
140	0.007755213928
141	0.00771080637
142	0.007694667196
143	0.00762724123
144	0.007580863667
145	0.007566292334
146	0.007563269973
147	0.007488275814
148	0.007437678719
149	0.007396297479
150	0.007362953925
151	0.007335872865
152	0.007269220114
153	0.007168295932
154	0.007165120983
155	0.007104078317
156	0.0070022542
157	0.006935130429
158	0.006931835198
159	0.006912359715
160	0.00689588263
161	0.00686487267
162	0.006851469827
163	0.006823303986
164	0.006804889035
165	0.006754982686
166	0.006678647244
167	0.006675618839
168	0.006576057875
169	0.006545544267
170	0.006494277298
171	0.006472642159
172	0.006425855494
173	0.006331673908
174	0.006313559008
175	0.006292266178
176	0.006268232179
177	0.006265717912
178	0.006182317984
179	0.006121563733
180	0.006076199949
181	0.006049549818
182	0.005977903283
183	0.005952923393
184	0.005935183835
185	0.005916363573
186	0.00590817126
187	0.005900248313
188	0.005858814442
189	0.005851099312
190	0.005758927202
191	0.005756719041
192	0.005748988032
193	0.005741649508
194	0.005734447086
195	0.005712512159
196	0.005710650349
197	0.005694311106
198	0.005643149805
199	0.005636167836
